usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
Jan-55,2 Tier Management Corporation,Jan-55,T16SM0009K,Westgate Tower,1 GATEWAY DRIVE 608531,1,GATEWAY DRIVE,Jan-51,Westgate Tower,608531,67104051,ACTIVE,298,CBRE Pte Ltd,62248181,22/8/2016
Jan-91,2 Tier Management Corporation,Jan-91,T16SM0007G,GREENWICH V,1 SELETAR ROAD 807011,1,SELETAR ROAD,Jan-22,GREENWICH V,807011,62569333,ACTIVE,319,Newman & Goh Property Consultants Pte Ltd,62569333,26/7/2016
Jan-31,2 Tier Management Corporation,Jan-31,T16SM0011C,Junction Nine,18 #02-63 YISHUN AVENUE 9 768895,18,YISHUN AVENUE 9,Feb-63,Junction Nine,768897,6255 5652,ACTIVE,332,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd),62555652,19/10/2016
Jan-40,2 Tier Management Corporation,Jan-40,T17SM0001C,THE MIDTOWN COMMERCIAL,1187 UPPER SERANGOON ROAD 534785,1187,UPPER SERANGOON ROAD,Jan-72,THE MIDTOWN,533971,9027 1452,ACTIVE,267,Ocean IFM Pte Ltd,9027 1452,30/3/2017
Jan-64,2 Tier Management Corporation,Jan-64,T17SM0003F,KINEX / KATONG REGENCY,11 TANJONG KATONG ROAD 437157,11,TANJONG KATONG ROAD,Mar-28,KINEX,437157,63549605,ACTIVE,244,UOL Management Services Pte Ltd,62550233,4/5/2017
Jan-84,2 Tier Management Corporation,Jan-84,T17SM0013L,VISION EXCHANGE,2 VENTURE DRIVE 608526,2,VENTURE DRIVE,Jan-50,na,608526,62645307,ACTIVE,740,CBRE Pte Ltd,65349351,4/10/2017
Jan-15,2 Tier Management Corporation,Jan-15,T17SM0005J,UP@ROBERTSON QUAY,92 ROBERTSON QUAY 238260,92,ROBERTSON QUAY,1-Jan,UP@ROBERTSON QUAY,238260,63843429,ACTIVE,70,Colliers International Consultancy & Valuation (S) Pte Ltd,91791211,25/5/2017
Jan-20,2 Tier Management Corporation,Jan-20,T17SM0015C,NEWest,1 WEST COAST DRIVE 128020,1,WEST COAST DRIVE,01-111,NEWEST,128020,87486780,ACTIVE,277,Ocean IFM Pte Ltd,97991582,10/11/2017
Jan-22,2 Tier Management Corporation,na,T17SM0017F,SEAHILL,119 WEST COAST CRESCENT 126777,119,WEST COAST ROAD,B1-07,SEAHILL,126777,6264 3715,ACTIVE,320,Knight Frank Property Asset Management Pte Ltd,68485653,13/7/2017
Jan-34,2 Tier Management Corporation,Jan-34,T17SM0011H,KAP,9 KING ALBERT PARK 598332,9,KING ALBERT PARK,Jan-72,KAP,598332,98152461,ACTIVE,249,Ocean IFM Pte Ltd,91991582,21/9/2017
Jan-46,2 Tier Management Corporation,Jan-46,T17SM0008H,CAIRNHILL NINE,9 CAIRNHILL ROAD 229723,9,CAIRNHILL ROAD,5-Jan,CAIRNHILL NINE,229723,67343847,ACTIVE,268,na,na,16/8/2017
Jan-48,2 Tier Management Corporation,Jan-48,T17SM0009D,The Star Vista,1 VISTA EXCHANGE GREEN 138617,1,VISTA EXCHANGE GREEN,4-Jan,THE STAR,138617,66943110,ACTIVE,3,Capitaland Retail Management Pte Ltd,66943110,18/9/2017
Jan-49,2 Tier Management Corporation,Jan-49,T17SM0018B,PS 100,PS100 PECK SEAH STREET 079333,100,PECK SEAH STREET,6-Jan,PS100,79333,63851596,ACTIVE,101,CBRE Pte Ltd,63851428,27/12/2017
Jan-53,2 Tier Management Corporation,Jan-53,T17SM0006E,HILLV2,4 HILLVIEW RISE 667979,4,HILLVIEW RISE,Jan-18,HILLV2,667979,68485635,ACTIVE,528,na,na,5/7/2017
Jan-55,2 Tier Management Corporation,Jan-55,T18SM0008B,HILLION MALL / HILLION RESIDENCES,17 PETIR ROAD 678278,17,PETIR ROAD,B1-67,HILLION MALL,678278,6468 7155,ACTIVE,555,Knight Frank Property Asset Management Pte Ltd,na,15/8/2018
Jan-12,2 Tier Management Corporation,Jan-12,T18SM0001H,ONZE@TANJONG PAGAR,11 KEE SENG STREET 089218,11,KEE SENG STREET,Jan-14,Onze@Tanjong Pagar,89218,96332719,ACTIVE,69,Ocean IFM Pte Ltd,96332719,1/2/2018
Jan-16,2 Tier Management Corporation,Jan-16,T18SM0003L,THE CITRON & THE CITRON RESIDENCES,1 MARNE ROAD 208380,1,MARNE ROAD,Jan-14,The Citron,208380,98161900,ACTIVE,90,Chambers Property Management Services Pte Ltd,64111671,11/5/2018
Jan-22,2 Tier Management Corporation,Jan-22,T18SMC0005C,South Beach Avenue,26 BEACH ROAD 189768,26,BEACH ROAD,B2-04,SOUTH BEACH TOWER,189768,67021429,ACTIVE,190,CBRE Pte Ltd,62248181,9/6/2018
Jan-23,2 Tier Management Corporation,Jan-23,T18SM0012J,ROYAL SQUARE AT NOVENA,101 IRRAWADDY ROAD 329565,103,IRRAWADDY ROAD,4-Jan,ROYAL SQUARE MEDICAL CENTRE,329566,62654502,ACTIVE,223,na,na,19/9/2018
Jan-26,2 Tier Management Corporation,Jan-26,T18SM0010F,UIC BUILDING,5 SHENTON WAY 068808,5,SHENTON WAY,B1-01,UIC BUILDING,68808,63847862,ACTIVE,526,Knight Frank Property Asset Management Pte Ltd,63847862,9/10/2018
Jan-41,2 Tier Management Corporation,Jan-41,T18SM0014A,GUOCO TOWER,7 WALLICH STREET 078884,7,WALLICH STREET,B2-08,GUOCO TOWER,78884,63868322,ACTIVE,3,GuocoLand Property Maintenance Services Pte. Ltd.,63868322,15/11/2018
Jan-62,2 Tier Management Corporation,Jan-62,T19SM0003E,DUO,1 FRASER STREET 189350,1,FRASER STREET,B1-01,DUO RESIDENCES,189350,67022770,ACTIVE,687,Savills Property Management Pte Ltd,67368160,26/3/2019
Jan-74,2 Tier Management Corporation,Jan-74,T19SM0008G,Marina One - Retail Block The heart,5 STRAITS VIEW 018935,5,STRAITS VIEW,B2-79,Marina One,18935,69110118,ACTIVE,1042,na,na,20/9/2019
Jan-77,2 Tier Management Corporation,Jan-77,T19SM0001B,CAPITOL PIAZZA,13 STAMFORD ROAD 178905,13,STAMFORD ROAD,B2-56,CAPITOL PIAZZA,178905,6385 7488,ACTIVE,43,na,na,22/3/2019
Jan-82,2 Tier Management Corporation,Jan-82,T19SM0005H,Waterway Point,83 PUNGGOL CENTRAL 828761,83,PUNGGOL CENTRAL,B2-34,WATERWAY POINT,828761,68127301,ACTIVE,995,Frasers Property Retail Management,68127310,17/7/2019
Jan-90,2 Tier Management Corporation,Jan-90,T19SM0007L,The Wisteria/Wisteria Mall,594 YISHUN RING ROAD 768696,594,YISHUN RING ROAD,00-00,The Wisteria / Wisteria Mall,768696,66109648,ACTIVE,216,Chambers Property Management Services Pte Ltd,66109648,13/8/2019
Jan-04,2 Tier Management Corporation,Jan-04,T20SM0001D,THE POIZ RESIDENCES,51 UPPER SERANGOON ROAD 347697,51,UPPER SERANGOON ROAD,Mar-15,THE POIZ RESIDENCES,347697,69098402,ACTIVE,731,SMART PROPERTY MANAGEMENT (SINGAPORE) PTE LTD,69098402,11/3/2020
Jan-06,2 Tier Management Corporation,Jan-06,T19SM0011G,FARRER SQUARE,12 FARRER PARK STATION ROAD 217565,25,NORTH BRIDGE ROAD,09-00,na,179104,67368183,ACTIVE,49,Savills Property Management Pte Ltd,na,13/11/2019
Jan-08,2 Tier Management Corporation,Jan-08,T20SM0005K,BIJOU,na,14,SCOTTS ROAD,na,na,228213,na,ACTIVE,124,na,na,16/7/2020
Jan-29,2 Tier Management Corporation,Jan-29,T20SM0007B,FUNAN,na,168,ROBINSON ROAD,30-Jan,na,68912,na,ACTIVE,29,na,na,16/7/2020
Jan-35,2 Tier Management Corporation,Jan-35,T20SM0003G,Subsidiary Management Corporation No. 1 Strata Title Plan No. 4735,30 RAFFLES PLACE 048622,30,RAFFLES PLACE,3-Jan,Oxley@Raffles and Change Alley Mall,48622,90687688,ACTIVE,30,Jones Lang LaSalle Property Consultants Pte Ltd,na,2/6/2020
100,Single Tier Management Corporation,na,S71MC0100J,ST THOMAS APT. (Terminated),38C ST. THOMAS WALK,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,12,MCST,na,20/10/1971
101,Single Tier Management Corporation,na,S71MC0101E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0101,188-1B TANJONG KATONG ROAD 436990,188-1A,TANJONG KATONG ROAD,na,na,436990,64740828,ACTIVE,3,MCST,na,27/10/1971
102,Single Tier Management Corporation,na,S71MC0102A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0102,188-2B TANJONG KATONG ROAD 436990,188-2B,TANJONG KATONG ROAD,na,na,436990,na,ACTIVE,3,MCST,na,27/10/1971
103,Single Tier Management Corporation,na,S71MC0103H,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0103,188-3B TANJONG KATONG ROAD 436990,188-3,TANJONG KATONG ROAD,na,na,436990,64446398,ACTIVE,3,MCST,na,27/10/1971
104,Single Tier Management Corporation,na,S71MC0104D,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0104,188-4B TANJONG KATONG ROAD 436990,188-4B,TANJONG KATONG ROAD,na,na,436990,64404538,ACTIVE,3,N,na,27/10/1971
105,Single Tier Management Corporation,na,S71MC0105L,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0105,188-5B TANJONG KATONG ROAD 436990,188-5A,TANJONG KATONG ROAD,na,na,436990,na,ACTIVE,3,N,na,27/10/1971
106,Single Tier Management Corporation,na,S71MC0106G,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0106,188-6B TANJONG KATONG ROAD 436990,188-6,TANJONG KATONG ROAD,na,na,436990,64488996,ACTIVE,3,N,na,27/10/1971
107,Single Tier Management Corporation,na,S71MC0107C,MANAGEMENT CORPN STRATA TITLE PLAN NO. 107,188-7B TANJONG KATONG ROAD 593001,188-7,TANJONG KATONG ROAD,na,na,436990,64668110,ACTIVE,3,N,na,27/10/1971
108,Single Tier Management Corporation,na,S71MC0108K,MANAGMENT CORPORATION STRATA TITLE PLAN NO. 0108,188-8B TANJONG KATONG ROAD 436990,1,PALM AVENUE,na,na,456520,64465728,ACTIVE,3,N,na,27/10/1971
109,Single Tier Management Corporation,na,S71MC0109F,MANAGEMENT CORPN STRATA TITLE PLAN NO. 109,188-9B TANJONG KATONG ROAD 436990,188-9B,UPPER CROSS STREET,Aug-13,PEOPLE'S PARK CENTRE,58358,65383566,ACTIVE,3,N,na,27/10/1971
110,Single Tier Management Corporation,na,S71MC0110C,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0110,188-10B TANJONG KATONG ROAD 436990,363,JOO CHIAT ROAD,na,na,427608,63458080,ACTIVE,3,N,na,27/10/1971
111,Single Tier Management Corporation,na,S71MC0111K,NORTHERN MANSION,99J MERGUI ROAD 219065,97,MERGUI ROAD,na,NORTHERN MANASION,219065,66653880,DEFUNCT,18,PROPMAG MANAGEMENT SERVICES PTE LTD,66653880,2/11/1971
112,Single Tier Management Corporation,na,S71MC0112F,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0112,4B ST. GEORGES ROAD 328023,4,ST. GEORGES ROAD,na,na,328024,62934697,ACTIVE,6,na,na,23/11/1971
113,Single Tier Management Corporation,na,S71MC0113B,JERVOIS COURT (Terminated),16B JERVOIS CLOSE 249108,TERMINATED,ALEXANDRA ROAD,na,na,na,na,DEFUNCT,50,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141,6/12/1971
114,Single Tier Management Corporation,na,S71MC0114J,enbloc,222/A-C BALESTIER ROAD 328686,1,YUK TONG AVENUE,1-Jan,CHUN TIN COURT,596306,64661342,DEFUNCT,12,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,18/12/1971
115,Single Tier Management Corporation,na,S71MC0115E,NULL,130V CAIRNHILL ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,21,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,21/12/1971
116,Single Tier Management Corporation,na,S72MC0116F,DRAGON MANSION,18 SPOTTISWOODE PARK ROAD 088642,15,WEST COAST HIGHWAY,4-Jan,PASIR PANJANG BUILDING,117861,67792711,DEFUNCT,72,Stature Real Estate Enterprises Pte Ltd,67792711,28/1/1972
117,Single Tier Management Corporation,na,S72MC0117B,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0117,64 LORONG N TELOK KURAU 425204,64,LORONG N TELOK KURAU,na,na,425204,64402938,ACTIVE,6,na,na,1/2/1972
118,Single Tier Management Corporation,na,S72MC0118J,NIL,537C EAST COAST ROAD 429068,531A,EAST COAST ROAD,na,na,429065,63443988,DEFUNCT,16,na,na,1/2/1972
119,Single Tier Management Corporation,na,S72MC0119E,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0119,14 HAIG AVENUE 438869,14B,HAIG AVENUE,na,na,438869,na,ACTIVE,3,MCST,na,5/2/1972
120,Single Tier Management Corporation,na,S72MC0120B,BEE HWA COURT (Terminated),17L OXLEY ROAD 238618,TERMINATED,SIMS AVENUE,na,na,na,na,DEFUNCT,24,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh),68421731,28/2/1972
121,Single Tier Management Corporation,na,S72MC0121J,BRIGHTS APARTMENT,57D IRRAWADDY ROAD 329551,51,IRRAWADDY ROAD,na,BRIGHT APPARTMENT,329551,62551206,DEFUNCT,20,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh),68421731,1/3/1972
122,Single Tier Management Corporation,na,S72MC0122E,South Union Park,59C JALAN TUA KONG 457254,56,LORONG 16 GEYLANG,na,South Union Park,398885,62747305,ACTIVE,20,Camrie Project and Estate Management,62747305,21/3/1972
123,Single Tier Management Corporation,na,S72MC0123A,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0123,79B LORONG 8 GEYLANG 399142,81A,LORONG 8 GEYLANG,na,na,399143,92955193,ACTIVE,6,na,na,21/3/1972
124,Single Tier Management Corporation,na,S72MC0124H,HERTFORD MANSION,21/A/B BRISTOL ROAD 219847,21,BRISTOL ROAD,na,HERTFORD MANSION,219847,65549591,ACTIVE,12,AMPM Property Consultants Pte Ltd,65549591,27/3/1972
125,Single Tier Management Corporation,na,S72MC0125D,na,458/A/B/C BALESTIER ROAD 329834,454 - 458,BALESTIER ROAD,na,na,329880,63361214,DEFUNCT,12,LOO & LEE SECRETARIAL & MANAGEMENT PTE LTD,63372410,1/1/1976
126,Single Tier Management Corporation,na,S72MC0126L,REALTY PARK,48/A LORONG 1 REALTY PARK 536957,6001,BEACH ROAD,13-Jul,Beach Road,199589,62981416,ACTIVE,20,LE Property Consultancy Pte Ltd,62981416,30/3/1972
127,Single Tier Management Corporation,na,S72MC0127G,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0127,33 LORONG 17 GEYLANG 388557,33B,LORONG 17 GEYLANG,na,na,388557,62878532,ACTIVE,3,na,na,30/3/1972
128,Single Tier Management Corporation,na,S72MC0128C,BAN GUAN PARK,74A GREENLEAF ROAD,68,GREENLEAF ROAD,na,BAN GUAN PARK,279355,67788595,DEFUNCT,18,NIL,na,5/4/1972
129,Single Tier Management Corporation,na,S72MC0129K,NULL,19E PECK HAY ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,12,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,15/4/1972
130,Single Tier Management Corporation,na,S72MC0130G,WOOLLERTON PARK APARTMENT,36E WOOLLERTON PARK 257530,30,WOOLLERTON PARK,na,WOOLLERTON PARK APARTMENTS,257530,64669723,ACTIVE,56,Colliers International Consultancy & Valuation (S) Pte Ltd,62232323,25/5/1972
131,Single Tier Management Corporation,na,S72MC0131C,MUTUAL COURT,8/A/B/C/D MAR THOMA ROAD 328694,531,UPPER CROSS STREET,4-Dec,HONG LIM COMPLEX,50531,63345565,DEFUNCT,34,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565,26/5/1972
132,Single Tier Management Corporation,na,S72MC0132K,ENG KONG MAN (Terminated),39C ENG KONG CRESCENT,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,64,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565,31/5/1972
133,Single Tier Management Corporation,na,S72MC0133F,KISMIS LODGE,2 ENG KONG TERRACE,8,KAKI BUKIT ROAD 2,2-Apr,na,417841,67424049,DEFUNCT,64,Aspire Property Management (S) Pte Ltd,67424049,31/5/1972
134,Single Tier Management Corporation,na,S72MC0134B,DRAGON VIEW PARK (TERMINATED),51P JALAN MUTIARA 249204,TERMINATED,JALAN MUTIARA,na,na,249220,67336845,DEFUNCT,88,KIRIN PROPERTIES & SERVICES,67336845,15/6/1972
135,Single Tier Management Corporation,na,S72MC0135J,DEVONSHIRE COURT (Terminated),148M KILLINEY ROAD 239564,TERMINATED,na,na,N,na,na,DEFUNCT,62,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288,5/7/1972
136,Single Tier Management Corporation,na,S72MC0136E,CAVENAGH COURT,151 CAVENAGH ROAD 229628,151,CAVENAGH ROAD,01-00,CAVENAGH COURT,229628,62569333,ACTIVE,69,Newman & Goh Property Consultants Pte Ltd,62569333,1/8/1972
137,Single Tier Management Corporation,na,S72MC0137A,NULL,8A JALAN LIMAU BALI,200,JALAN SULTAN,3-Mar,TEXTILE CENTRE,199018,na,DEFUNCT,12,PROACT BLDG MAINTENANCE SERVICES,na,17/8/1972
138,Single Tier Management Corporation,na,S72MC0138H,NULL,16C LORONG LIMAU,TERMINATED,RAFFLES PLACE,na,na,na,na,DEFUNCT,12,PROACT BLDG MAINTENANCE SERVICES,na,22/8/1972
139,Single Tier Management Corporation,na,S72MC0139D,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0139,14 JALAN LABU AYER 538026,14,JALAN LABU AYER,na,na,538026,63832877,ACTIVE,5,na,na,5/9/1972
140,Single Tier Management Corporation,na,S72MC0140A,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0140,465E JOO CHIAT ROAD 427678,465D,JOO CHIAT ROAD,na,na,427678,na,ACTIVE,3,MCST,na,14/9/1972
141,Single Tier Management Corporation,na,S72MC0141H,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0141,467B JOO CHIAT ROAD 427678,247B,TANJONG KATONG ROAD,na,na,437035,na,ACTIVE,3,MCST,na,14/9/1972
142,Single Tier Management Corporation,na,S72MC0142D,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0142,33/A-E HONGKONG STREET 59672,33A-E,HONGKONG STREET,na,na,59672,65323941,ACTIVE,6,na,na,18/9/1972
143,Single Tier Management Corporation,na,S72MC0143L,CHANGI HEIGHTS,NIL JALAN SINAR BULAN,na,na,na,STRATA TITLES SCHEME TERMINATED,na,na,ACTIVE,58,SINGAPORE LIVESTOCK FARMERS ASSOCIATION,65342744,19/9/1972
144,Single Tier Management Corporation,na,S72MC0144G,(Terminated),75D TANGLIN ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,5,SINGAPORE LIVESTOCK FARMERS ASSOCIATION,65342744,25/9/1972
145,Single Tier Management Corporation,na,S72MC0145C,IDEAL PLACE,278B JOO CHIAT ROAD 427526,1014,GEYLANG EAST AVENUE 3,7-216,na,389729,68440801,ACTIVE,18,Halley Service Pte Ltd,68440801,29/9/1972
146,Single Tier Management Corporation,na,S72MC0146K,REALTY CENTRE,16W ENGGOR STREET 79716,15,ENGGOR STREET,na,REALTY CENTRE,79716,96277817,ACTIVE,36,HBA Group Property Consultants Pte Ltd,96277817,29/9/1972
147,Single Tier Management Corporation,na,S72MC0147F,FAIRHAVEN,130T SOPHIA ROAD 228185,130,SOPHIA ROAD,na,FAIRHAVEN,228185,63391556,ACTIVE,15,na,na,29/9/1972
148,Single Tier Management Corporation,na,T05MC3005G,GRAND BUILDING,17J PHILLIP STREET 48695,750,CHAI CHEE ROAD,3-Sep,Viva Business Park,469000,64179205,ACTIVE,11,EDMUND TIE & COMPANY PROPERTY MANAGEMENT SERVICES PTE LTD,64179205,30/9/1972
149,Single Tier Management Corporation,na,S72MC0149J,NULL,30B OXFORD ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,3,BRITISH AND MALAYAN TRUSTEES LTD,65354922,2/10/1972
150,Single Tier Management Corporation,na,S72MC0150F,NULL,28 OXFORD ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,3,BRITISH AND MALAYAN TRUSTEES LTD,65354922,2/10/1972
151,Single Tier Management Corporation,na,S72MC0151B,EAST VILLE,43Q JOO CHIAT LANE 428103,266,SERANGOON CENTRAL DRIVE,03-255,na,550266,62273233,ACTIVE,16,Bernard Valuers & Real Estate Consultants Pte Ltd,62273233,3/10/1972
152,Single Tier Management Corporation,na,S72MC0152J,LAVENDER STREET,205 LAVENDER STREET 338764,205,LAVENDER STREET,na,NA,338764,62913274,ACTIVE,4,na,na,9/10/1972
153,Single Tier Management Corporation,na,S72MC0153E,Terminated,120B KOON SENG ROAD,118A,KOON SENG ROAD,na,na,427050,63457724,DEFUNCT,6,NIL,na,15/12/1980
154,Single Tier Management Corporation,na,S72MC0154A,DEVONSHIRE MANSIONS (Terminated),61 DEVONSHIRE ROAD 239858,78,SHENTON WAY,22-Jan,na,79120,62218111,DEFUNCT,8,MCL LAND PROPERTY MANAGEMENT PTE LTD,62218111,16/10/1972
155,Single Tier Management Corporation,na,S72MC0155H,83/83A/85/85A JOO CHIAT TERRACE,85A JOO CHIAT TERRACE 427245,83,JOO CHIAT TERRACE,na,na,427245,98555958,ACTIVE,4,na,na,1/11/1972
156,Single Tier Management Corporation,na,S72MC0156D,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0156,467E JOO CHIAT ROAD 427678,467C,JOO CHIAT ROAD,na,na,427678,63440690,ACTIVE,3,MCST,na,7/11/1972
157,Single Tier Management Corporation,na,S72MC0157L,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0157,16/A/B KIM KEAT LANE 328874,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,12,CENCON PROPERTIES PTE LTD,67412232,10/11/1972
158,Single Tier Management Corporation,na,S72MC0158G,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0158,8/A/B KIM KEAT LANE 328865,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
159,Single Tier Management Corporation,na,S72MC0159C,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0159,4/A/B KIM KEAT LANE 328861,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
160,Single Tier Management Corporation,na,S72MC0160L,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0160,2/A/B KIM KEAT LANE 328859,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67412232,14/11/1972
161,Single Tier Management Corporation,na,S72MC0161G,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0161,1/A/B KIM KEAT CLOSE 328913,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
162,Single Tier Management Corporation,na,S72MC0162C,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0162,3/A/B KIM KEAT CLOSE 328915,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
163,Single Tier Management Corporation,na,S72MC0163K,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0163,5/A/B KIM KEAT CLOSE 328917,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67412232,14/11/1972
164,Single Tier Management Corporation,na,S72MC0164F,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0164,7/A/B KIM KEAT CLOSE 328919,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
165,Single Tier Management Corporation,na,S72MC0165B,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0165,9B KIM KEAT CLOSE 328921,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,14/11/1972
166,Single Tier Management Corporation,na,S72MC0166J,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0166,11/A/B KIM KEAT CLOSE 328923,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67419492,15/11/1972
167,Single Tier Management Corporation,na,S72MC0167E,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0167,15/A/B KIM KEAT CLOSE 328926,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,15/11/1972
168,Single Tier Management Corporation,na,S72MC0168A,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0168,19/A/B KIM KEAT CLOSE 328930,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,15/11/1972
169,Single Tier Management Corporation,na,S72MC0169H,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0169,21/A/B KIM KEAT CLOSE 328931,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67419492,15/11/1972
170,Single Tier Management Corporation,na,S72MC0170E,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0170,23/A/B KIM KEAT CLOSE 328932,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67417804,ACTIVE,3,CENCON PROPERTIES PTE LTD,67412232,15/11/1972
171,Single Tier Management Corporation,na,S72MC0171A,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0171,2/A/B KIM KEAT CLOSE 328914,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,15/11/1972
172,Single Tier Management Corporation,na,S72MC0172H,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0172,4/A/B KIM KEAT CLOSE 328916,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67419492,15/11/1972
173,Single Tier Management Corporation,na,S72MC0173D,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0173,6/A/B KIM KEAT CLOSE 328918,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,15/11/1972
174,Single Tier Management Corporation,na,S72MC0174L,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0174,8/A/B KIM KEAT CLOSE 328920,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67417804,15/11/1972
175,Single Tier Management Corporation,na,S72MC0175G,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0175,10/A/B KIM KEAT CLOSE 328922,2,TANNERY ROAD,1-Jan,CENCON BUILDING,347720,67412232,ACTIVE,3,CENCON PROPERTIES PTE LTD,67412232,15/11/1972
